s,p,o
http://edukb.org/knowledge/0.1/class/chemistry#chemistry,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#chun-ca974cf78b17d0bde9ee737006a0a26b,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#chunjingwu-1147122efbe1a3199d546489fb15109f,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#danzhi-ff2acae3ca84a255ed908899eb82d5c6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#duirentiyouhaidewuzhi-d29d16c6d8a7b2a2a29a3260dfc03d47,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#feijinshuyuansu-c32a5604c2e8e3eaa84c808140ac29d4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#fenjiefanying-33369a2d226bc4c7c67d089348f10a07,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#fufenjiefanying-bc06a4af2e45ee300de93a73c35687f8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huahefanying-398f01a258f86d34166b4482e8074d59,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huahewu-5fe7e1b407df51c56a559ec78b7cac86,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxuefangfa-71c0d6b010c9ecae08b7fad6dc540dbe,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxuefanying-72f7ec09eab426cfc8d8962bd8cb48a0,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxuegainian-5ced51816f4d373aa1e6721a6c9c8847,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxueshiyan-7078db6675e6fe334077c149540845cc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxuewuzhi-9b8bc9c88985e47d52516f0051038c87,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxueyuanli-0fbb133466edb8fa50eae0c68a910d4b,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxueyuansu-3801eb474dd2f5bc3b85e21a025d39c0,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxueyucailiao-37886645a6e785689b1993a70d54a7b3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxueyuhuanjing-082301fd26195703e01d48b79efc968f,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxueyunengyuan-8364a710ac2d54a5e6411b2f61fde5bf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxueyurentijiankang-d8055371172609a212e1e28075ae1d12,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxueyushengchan-f22c7d1ba9b3dae54a7698e892cd72f6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#huaxueyushenghuo-3377ddc158466eda98366a2d2b27da4c,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#hunhewu-6c33429844821a95ac9eb40d93d67536,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#jiachengfanying-253f82d53dff754dc411807d30d4e1ce,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#jiajufanying-1765d38fcdde09bd6265b8d0cb60fed2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#jian-b6355e2897b09990f3f5b7013bacec11,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#jinshucailiao-b9c38bc4537a1af7c2174f957b457d21,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#jinshuyuansu-f9d3abc8f98884223f088bd69a321733,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#lizidejianyan-368f44e73327aa22ceb7625f1b2028b2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#qitidejianyan-172c244c8c27facf6a2ff1ae3fd95c46,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#qudaifanying-70b313a2a5cfda0fec5f0bfdce050626,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#rentizhongdechangliangyuansu-b022b41fd884f082e837d35adef37301,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#rentizhongdeliudajibenyingyangsu-2b06153c97b4d62f03eaa675ffda519b,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#rentizhongdeweiliangyuansu-e754476a5c2dfa7b25065d69905d4635,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#shiyanjibencaozuo-83e58aad5ae1cb8fbbab3db022177f07,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#shiyanyiqimingchengjiyongtu-5ff6f844feefe190221760a96bf1bdb7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#suan-23b9b90256a0e4aa56f6bc83bd313652,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/chemistry#suosuan-3c7210f6ec9ed648217def1081bbcd4e,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
